variable_a,variable_b,relacion,duplicado_exacto,misma_fuente,mismo_concepto_distinta_unidad,solapamiento_teorico,riesgo_multicolinealidad,recomendacion
forest_area_km2,forest_area_pct_land,"misma fuente FAO, misma variable en dos unidades",no,sí,sí,sí,alto (monotransformación vía área territorial),"elegir una — forest_area_pct_land preferida (normalizada, completa 100%); forest_area_km2 útil para análisis absolutos"
ghg_total_incl_lulucf_mt_co2e,co2_excl_lulucf_mt_co2e,CO2 es subconjunto de GHG total; misma fuente EDGAR,no,sí,no,sí (CO2 ⊂ GHG),alto (correlación estructural: CO2 representa ~60-80% de GHG total),"no usar ambas como dependientes simultáneas; elegir según objetivo. GHG para análisis climático completo, CO2 si foco en combustibles fósiles"
gdp_per_capita_const2015_usd,gdp_per_capita_ppp_const2021_intl,"misma variable, diferente deflactor/base: USD 2015 vs USD PPA 2021",no,sí (WB WDI),sí,sí,alto,elegir una. PPA 2021 para comparaciones internacionales; USD constante 2015 para análisis de crecimiento nominal. ADVERTENCIA: año base PPA era 2017 en v1 pero API entrega 2021.
internet_users_pct_pop,mobile_subscriptions_per100,dos proxies distintos del mismo concepto: adopción tecnológica,no,sí (WB/ITU),sí,sí,medio-alto (correlación esperada ~0.8),elegir una. internet_users preferida por mayor relevancia conceptual; móvil puede superar 100% (multisim)
renewable_energy_pct_final_energy,renewable_electricity_output_pct,ambas miden participación renovable; difieren en denominador (energía final vs electricidad),no,sí (WB/IEA),sí,sí,alto,elegir una. renewable_energy_pct_final_energy más amplia (incluye calefacción y transporte); renewable_electricity_output_pct solo sector eléctrico
agriculture_va_pct_gdp,manufacturing_va_pct_gdp,partes del mismo PIB; suma con servicios ~60-92% del PIB,no,sí,no,sí (restricción lineal implícita con services_va),medio (restricción estructural: agric + manuf + servicios < 100),"si se usan las 3 juntas, incluir solo 2 para evitar multicolinealidad perfecta parcial"
manufacturing_va_pct_gdp,services_va_pct_gdp,partes del mismo PIB,no,sí,no,sí,medio,ver nota anterior sobre restricción VAB
wgi_voice_accountability_est,wgi_government_effectiveness_est,dos dimensiones del mismo índice compuesto WGI,no,sí (WGI),no,sí (correlación intragrupo ~0.7-0.9),alto (todas las dimensiones WGI correlacionan fuertemente),usar máximo 1-2 dimensiones WGI en un mismo modelo; o construir índice compuesto PCA
wgi_rule_of_law_est,wgi_control_corruption_est,dos dimensiones del mismo índice WGI,no,sí,no,sí,alto,ver bloque WGI: elegir la dimensión más relevante según marco teórico
wgi_regulatory_quality_est,wgi_political_stability_est,dos dimensiones del mismo índice WGI,no,sí,no,sí,alto,ver bloque WGI
account_ownership_pct_adults,domestic_credit_private_pct_gdp,ambas miden inclusión/profundidad financiera desde dimensiones distintas,no,no (Findex vs WDI/FMI),sí,sí,medio,"mantener ambas: Findex mide acceso individual, crédito privado mide profundidad sistémica. Son dimensiones complementarias"
