variable_consigna,existe_directa_en_fuente_publica,existe_en_panel_raw,columna_asociada,codigo_api,nivel_trazabilidad,cobertura_pct_primera_columna,observaciones,motivo_si_falta
Superficie forestal,sí,sí,forest_area_km2 + forest_area_pct_land,AG.LND.FRST.K2 / AG.LND.FRST.ZS,alto,100.0,Disponible. Dos columnas RAW: km² y %. Nota: WB interpola datos FAO quinquenales.,
Factor de capacidad de carga,no,no,NO INCLUIDA EN PANEL RAW,sin código directo,bajo,0.0,"NO existe indicador de 'carrying capacity' para 20 países AL 2000-2023 en fuente API pública. Candidatos: Global Footprint Network (acceso restringido), UNDP Human Development Report. Requiere descarga manual o suscripción. AUSENTE del panel RAW.","NO existe indicador de 'carrying capacity' para 20 países AL 2000-2023 en fuente API pública. Candidatos: Global Footprint Network (acceso restringido), UNDP Human Development Report. Requiere descarga manual o suscripción. AUSENTE del panel RAW."
Gases de efecto invernadero,sí,sí,ghg_total_incl_lulucf_mt_co2e,EN.GHG.ALL.LU.MT.CE.AR5,alto,100.0,Disponible directamente. 100% cobertura. Valores negativos válidos (sumidero forestal). Fuente: EDGAR 2025.,
Emisiones de CO2,sí,sí,co2_excl_lulucf_mt_co2e,EN.GHG.CO2.MT.CE.AR5,alto,100.0,"Disponible directamente. 100% cobertura. Nota: unidad es Mt CO2e (equivalente), no CO2 puro.",
Crecimiento económico (PIB per capita),sí,sí,gdp_per_capita_const2015_usd + gdp_per_capita_ppp_const2021_intl,NY.GDP.PCAP.KD / NY.GDP.PCAP.PP.KD,alto,100.0,"Disponible. REDUNDANCIA entre las dos versiones. Para modelo parsimoniosos elegir una. Advertencia: año base PPA era 2017 en v1, la API ahora devuelve 2021.",
Población,sí,sí,population_total,SP.POP.TOTL,alto,100.0,Disponible directamente.,
Tecnología,parcial,sí,internet_users_pct_pop + mobile_subscriptions_per100,IT.NET.USER.ZS / IT.CEL.SETS.P2,medio,99.6,No existe indicador directo de 'tecnología' para este panel. Se incluyen dos proxies de adopción digital. Nota: estos no miden tecnología ambiental ni innovadora.,Ver notas
VAB sectorial (agrícola),sí,sí,agriculture_va_pct_gdp,NV.AGR.TOTL.ZS,alto,97.5,Disponible. Incluye silvicultura y pesca según WB.,
VAB sectorial (manufacturero),sí,sí,manufacturing_va_pct_gdp,NV.IND.MANF.ZS,alto,97.5,Disponible directamente.,
VAB sectorial (servicios),sí,sí,services_va_pct_gdp,NV.SRV.TOTL.ZS,alto,97.5,Disponible directamente.,
